name,xshift,yshift,rot,scale,rmsxpix,rmsypix,xsc,ysc,exptime,rmsx,rmsy,rms,detector
jdb601qzq_flc.fits,0.22248800000000002,1.998331,0.008031,1.000086,0.05335,0.06442300000000001,49.15360435909204,52.24771514497709,15.0,2.6223447925575605,3.3659545527848596,4.2668890614201445,acs
jdb601r2q_flc.fits,0.29484,2.040697,0.007811,1.000082,0.055965999999999995,0.059694000000000004,49.15326888788567,52.24706195133513,350.0,2.750911846579409,3.118836116122999,4.158684251885941,acs
jdb601r5q_flc.fits,0.297336,1.954359,0.007972,1.0000790000000002,0.05499,0.068094,49.15264165525382,52.24646658546657,700.0,2.7029037646224072,3.557670895670761,4.467964968832318,acs
jdb601r9q_flc.fits,0.41560600000000003,1.980662,0.007773,1.0000799999999999,0.056229999999999995,0.060048000000000004,49.152257490418705,52.245800414033916,438.0,2.7638314386862435,3.137255823261909,4.1810451231792785,acs
jdb601req_flc.fits,0.46627399999999997,2.445831,0.020613999999999997,1.000062,0.058212,0.06425499999999999,49.156333628306214,52.25027364427407,10.0,2.8614884931709614,3.3573413330128297,4.411332817064043,acs
jdb601rhq_flc.fits,0.533506,2.383164,0.020557,1.000057,0.066691,0.070239,49.15596846015055,52.24995874592587,600.0,3.2782606925759,3.6699848523550873,4.920953361392893,acs
jdb601rlq_flc.fits,0.544229,2.327032,0.020524,1.000053,0.07168300000000001,0.066393,49.15551979204006,52.24974732978358,365.0,3.523615125252808,3.469017474466321,4.944688644299362,acs
jdb601roq_flc.fits,0.659083,2.270518,0.020434,1.000054,0.062641,0.066263,49.15509943309349,52.248934312095294,365.0,3.0791245835884093,3.4621711343223707,4.633318159223856,acs
jdb601rrq_flc.fits,0.709555,2.284071,0.020666,1.000054,0.06287100000000001,0.063983,49.15501028336609,52.24856476985369,365.0,3.09042465152551,3.3430199196695485,4.552637335662041,acs
jdb602rwq_flc.fits,-8.023496000000002,-7.370188000000001,0.010662,1.000081,0.061349,0.07955,49.15376230573478,52.24737200085323,15.0,3.015534163694523,4.156278442667874,5.134987515602595,acs
jdb602rzq_flc.fits,-7.942874000000001,-7.408853,0.010348999999999999,1.000081,0.061363,0.060367,49.152816184844355,52.24663959841891,350.0,3.016164259550604,3.153972892637754,4.3640338963033045,acs
jdb602s2q_flc.fits,-7.8890899999999995,-7.481729,0.010227,1.000081,0.057703,0.063024,49.15243940247269,52.24598675128493,700.0,2.8362432108408813,3.2927510690129815,4.3458583908736745,acs
jdb602s6q_flc.fits,-7.729541,-7.457032000000001,0.010012,1.0000799999999999,0.05612999999999999,0.06283,49.15215395218793,52.24571589950449,438.0,2.7589104013363084,3.2825983299658668,4.288011007273228,acs
jdb602sbq_flc.fits,-7.414322,-6.979067999999999,0.02267,1.000052,0.044586,0.074816,49.15742707119068,52.250692244440046,10.0,2.1917330433961077,3.909187790960026,4.481678582685877,acs
jdb602seq_flc.fits,-7.469059,-7.004703999999999,0.022168,1.000058,0.065044,0.073973,49.15636133791699,52.249796280990566,600.0,3.197326366863473,3.865074180293715,5.016143370699596,acs
jdb602siq_flc.fits,-7.414401,-7.055299000000001,0.022376,1.000057,0.066053,0.059648,49.1558659443229,52.24941138025208,365.0,3.2468924132203605,3.1165728900092757,4.500592952241815,acs
jdb602slq_flc.fits,-7.322738,-7.130278999999999,0.022289,1.000057,0.060991,0.065482,49.15536063749428,52.24892186127208,365.0,2.9980346006414136,3.4213639013198183,4.549059508502553,acs
jdb602soq_flc.fits,-7.222372999999999,-7.106497999999999,0.022330000000000003,1.000057,0.054315999999999996,0.061152,49.15526392873491,52.24829617997114,365.0,2.6699173155531652,3.195087807997595,4.163777680509071,acs
jdb603y8q_flc.fits,-1.8948060000000002,1.9695220000000002,0.010914,1.000076,0.049632,0.062053,49.1533852447494,52.24797841193173,15.0,2.4395808164674024,3.2421438043955995,4.057468546822825,acs
jdb603ybq_flc.fits,-1.92987,1.977078,0.011164,1.000075,0.054141999999999996,0.065498,49.15320822113506,52.24725775906127,350.0,2.661252999508694,3.422090888702995,4.335086340309507,acs
jdb603yeq_flc.fits,-1.836325,1.9705549999999998,0.011158,1.000074,0.055157000000000005,0.057479999999999996,49.15264530571127,52.24673604786803,700.0,2.7111124571271166,3.0031423880314545,4.04586146055214,acs
jdb603yiq_flc.fits,-1.802975,1.9389580000000002,0.011184,1.000073,0.055419,0.056372000000000005,49.15220824694426,52.24616275180478,438.0,2.723966228837404,2.9452206866447392,4.011772290258605,acs
jdb603ynq_flc.fits,-1.754614,2.310319,0.023981,1.0000440000000002,0.055316,0.058863,49.156742836467565,52.25178963010414,10.0,2.71915438674204,3.07569709299682,4.105327415299244,acs
jdb603yqq_flc.fits,-1.700865,2.4826669999999997,0.023740999999999998,1.000055,0.059274,0.073274,49.15596084627519,52.25039517046744,600.0,2.9136704232021158,3.8285954557208317,4.8111972001373005,acs
jdb603yuq_flc.fits,-1.6736090000000001,2.433234,0.023705,1.000051,0.060235000000000004,0.065107,49.155352590860836,52.24971833498896,365.0,2.9608726633105027,3.401822411636126,4.5098960795842356,acs
jdb603yxq_flc.fits,-1.581891,2.401998,0.023704,1.000048,0.056045000000000005,0.065131,49.15516575498141,52.24927892801243,365.0,2.7549012647379336,3.403047785860377,4.378380432454891,acs
jdb603z0q_flc.fits,-1.5742690000000001,2.387321,0.023613,1.000048,0.055938,0.059962,49.15503920169706,52.24887814716993,365.0,2.74963458286453,3.1329472314606037,4.168434801505388,acs
jdb604slq_flc.fits,-3.501058,5.8537930000000005,0.008366,1.000091,0.067661,0.09265,52.25602114028892,49.159479721673655,15.0,3.5356946463730887,4.554625796213064,5.765913004539767,acs
jdb604soq_flc.fits,-3.3678339999999998,5.8735,0.008295,1.0000790000000002,0.061009,0.07481,52.255941640920724,49.15870659114374,350.0,3.1880827435709325,3.6775628400834632,4.867066880844921,acs
jdb604srq_flc.fits,-3.3434559999999998,5.76806,0.008209000000000001,1.0000790000000002,0.059477999999999996,0.07152,52.25547536841701,49.1582824181254,700.0,3.1080511639627066,3.515800358544329,4.692636167331788,acs
jdb604svq_flc.fits,-3.354574,5.726902,0.008379000000000001,1.000078,0.062190999999999996,0.07303,52.2551754253735,49.1578806336721,430.0,3.249801614879403,3.5900000226770734,4.842448832862787,acs
jdb604t0q_flc.fits,-3.187743,6.287122,0.021,1.000073,0.098254,0.144084,52.258470497799635,49.1613664704694,10.0,5.134603760290805,7.083366326531113,8.748613278173138,acs
jdb604t3q_flc.fits,-3.135032,6.2095970000000005,0.021067,1.000058,0.068097,0.077185,52.259045274520304,49.16141783431715,600.0,3.5586842060590094,3.794524035541769,5.202177038006111,acs
