#Gc logAge  M_H  m_ini    mu0   Av    mratio  Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F275W1mag  F336W1mag  F475Wmag  F814Wmag  F110Wmag  F160Wmag  F098Mmag  F127Mmag  F139Mmag  F153Mmag  TiOmag  CNmag   Jmag    Hmag    Ksmag   IRAC_3.6mag  IRAC_4.5mag  IRAC_5.8mag  IRAC_8.0mag  MIPS_24mag
 1   8.010  0.28  0.12648  7.100  0.129 0.00   0.126 -2.547  3.4088  4.672    0  0.000  0.545     0.00     0.00 -1 -4.69e-16      0.00 6.755e-01 2.972e-01 4.913e-03 1.325e-03 1.202e-02 -1.000 2.732e-02 18.237 29.259 26.620 23.307 18.329 16.519 15.919 17.062 15.993 16.373 15.966 19.198 17.848 16.152 15.638 15.316 14.837 14.766 14.740 14.665 14.048 
 1   8.210  0.20  0.38166  9.350  0.226 0.86   0.381 -1.823  3.5071  4.822    0  0.000  0.545     0.00     0.00 -1  -1.2e-15      0.00 6.882e-01 2.890e-01 4.096e-03 1.105e-03 1.002e-02 -1.000 2.278e-02 18.089 28.035 24.083 21.435 17.726 16.510 15.868 16.927 16.123 16.126 15.886 18.064 17.481 16.228 15.690 15.430 15.094 15.012 14.979 14.952 14.399 
 1   8.490  0.22  0.24094  9.650  0.198 0.80   0.241 -2.295  3.4718  4.953    0  0.000  0.545     0.00     0.00 -1 -4.38e-16      0.00 6.849e-01 2.912e-01 4.300e-03 1.160e-03 1.052e-02 -1.000 2.392e-02 19.613 30.232 26.627 23.651 19.403 17.974 17.341 18.439 17.538 17.658 17.368 19.927 19.075 17.660 17.128 16.844 16.442 16.365 16.337 16.292 15.725 
 1   8.650  0.11  0.31505  8.800  0.156 0.00   0.315 -2.053  3.4988  4.936    0  0.000  0.545     0.00     0.00 -1 -6.81e-16      0.00 6.993e-01 2.820e-01 3.359e-03 9.062e-04 8.219e-03 -1.000 1.868e-02 18.702 28.709 24.768 22.091 18.344 17.117 16.476 17.536 16.727 16.736 16.495 18.690 18.095 16.833 16.297 16.036 15.694 15.610 15.577 15.549 15.000 
 1   8.510  0.44  0.45408 10.050  0.172 0.00   0.454 -1.696  3.5144  4.800    0  0.000  0.545     0.00     0.00 -1 -1.51e-15      0.00 6.464e-01 3.161e-01 6.731e-03 1.816e-03 1.647e-02 -1.000 3.743e-02 19.060 28.748 24.768 22.203 18.656 17.502 16.854 17.905 17.130 17.100 16.870 18.946 18.433 17.229 16.686 16.433 16.124 16.044 16.012 15.990 15.441 
 1   8.650  0.51  0.34393  9.500  0.220 0.00   0.344 -2.032  3.4819  4.885    0  0.000  0.545     0.00     0.00 -1 -7.22e-16      0.00 6.303e-01 3.266e-01 7.764e-03 2.094e-03 1.900e-02 -1.000 4.317e-02 19.349 29.706 25.879 23.060 19.063 17.740 17.103 18.180 17.328 17.387 17.125 19.492 18.778 17.441 16.908 16.635 16.261 16.179 16.148 16.112 15.552 
 1   8.710  0.15  0.26550  9.100  0.192 0.00   0.265 -2.220  3.4837  4.968    0  0.000  0.545     0.00     0.00 -1 -4.85e-16      0.00 6.943e-01 2.852e-01 3.688e-03 9.949e-04 9.023e-03 -1.000 2.051e-02 19.421 29.737 25.890 23.090 19.124 17.813 17.177 18.251 17.404 17.457 17.198 19.543 18.844 17.516 16.984 16.712 16.342 16.259 16.227 16.193 15.633 
 1   8.790  0.17  1.27480  8.450  0.178 0.00   1.275  0.364  3.8060  4.355    1  0.000  0.537     0.00     0.00 -1 -1.04e-13      0.00 7.023e-01 2.767e-01 3.725e-03 1.018e-03 9.247e-03 -1.000 2.100e-02 12.309 14.077 12.938 12.793 11.846 11.568 11.243 11.713 11.415 11.334 11.231 11.855 11.797 11.446 11.212 11.173 11.158 11.160 11.156 11.147 11.139 
 1   8.750  0.33  0.38119  8.900  0.172 0.00   0.380 -1.905  3.4992  4.872    0  0.000  0.545     0.00     0.00 -1 -9.33e-16      0.00 6.691e-01 3.013e-01 5.321e-03 1.435e-03 1.302e-02 -1.000 2.960e-02 18.433 28.433 24.484 21.817 18.075 16.848 16.208 17.267 16.459 16.468 16.227 18.421 17.826 16.564 16.029 15.768 15.427 15.343 15.311 15.283 14.729 
 1   8.850  0.11  2.21762 10.950  0.175 0.00   2.216  1.578  3.9171  3.825    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.120e-01 2.699e-01 3.200e-03 8.746e-04 7.948e-03 -1.000 1.805e-02 11.774 12.696 12.286 12.021 11.708 11.599 11.514 11.644 11.557 11.534 11.511 11.716 11.695 11.546 11.511 11.481 11.470 11.466 11.464 11.460 11.460 
